 Year     Month     Portfolio Value   Monthly Dividends     Cumulative Dividends
   12        11           176303.56              854.62                 48542.51
   12        12           178390.74              866.86                 49409.37
   13         1           180498.82              879.26                 50288.63
   13         2           182628.04              891.81                 51180.44
   13         3           184778.66              904.53                 52084.97
   13         4           186950.92              917.41                 53002.38
   13         5           189145.07              930.45                 53932.84
   13         6           191361.38              943.67                 54876.50
   13         7           193600.09              957.05                 55833.55
   13         8           195861.48              970.61                 56804.16
   13         9           198145.82              984.33                 57788.49
   13        10           200453.37              998.24                 58786.73
   13        11           202784.41             1012.33                 59799.06
   13        12           205139.21             1026.60                 60825.66
   14         1           207518.06             1041.05                 61866.71
   14         2           209921.24             1055.69                 62922.40
   14         3           212349.04             1070.52                 63992.92
   14         4           214801.76             1085.54                 65078.46
   14         5           217279.68             1100.76                 66179.22
   14         6           219783.12             1116.17                 67295.40
   14         7           222312.37             1131.79                 68427.18
   14         8           224867.74             1147.61                 69574.79
   14         9           227449.55             1163.63                 70738.42
   14        10           230058.11             1179.87                 71918.29
   14        11           232693.74             1196.31                 73114.60
   14        12           235356.77             1212.97                 74327.57
   15         1           238047.53             1229.85                 75557.42
   15         2           240766.35             1246.95                 76804.36
   15         3           243513.56             1264.27                 78068.63
   15         4           246289.52             1281.82                 79350.45
   15         5           249094.57             1299.60                 80650.04
   15         6           251929.06             1317.61                 81967.65
   15         7           254793.35             1335.86                 83303.51
   15         8           257687.79             1354.35                 84657.86
   15         9           260612.77             1373.08                 86030.95
   15        10           263568.63             1392.06                 87423.01
   15        11           266555.78             1411.29                 88834.30
   15        12           269574.57             1430.78                 90265.08
   16         1           272625.41             1450.52                 91715.60
   16         2           275708.68             1470.52                 93186.13
   16         3           278824.78             1490.79                 94676.92
   16         4           281974.11             1511.33                 96188.25
   16         5           285157.09             1532.14                 97720.38
   16         6           288374.11             1553.22                 99273.61
   16         7           291625.61             1574.59                100848.20
   16         8           294912.01             1596.24                102444.44
   16         9           298233.73             1618.18                104062.61
   16        10           301591.22             1640.41                105703.02
   16        11           304984.91             1662.94                107365.96
   16        12           308415.26             1685.77                109051.73
   17         1           311882.72             1708.90                110760.63
   17         2           315387.75             1732.34                112492.97
   17         3           318930.82             1756.10                114249.07
   17         4           322512.40             1780.18                116029.25
   17         5           326132.97             1804.58                117833.83
   17         6           329793.01             1829.31                119663.13
   17         7           333493.03             1854.37                121517.50
   17         8           337233.53             1879.76                123397.26
   17         9           341015.00             1905.50                125302.77
   17        10           344837.96             1931.59                127234.36
   17        11           348702.94             1958.03                129192.39
   17        12           352610.47             1984.83                131177.21
   18         1           356561.07             2011.99                133189.20
   18         2           360555.29             2039.51                135228.72
   18         3           364593.69             2067.42                137296.13
   18         4           368676.83             2095.70                139391.83
   18         5           372805.26             2124.36                141516.19
   18         6           376979.56             2153.41                143669.60
   18         7           381200.33             2182.86                145852.46
   18         8           385468.14             2212.71                148065.18
   18         9           389783.59             2242.97                150308.15
   18        10           394147.30             2273.65                152581.80
   18        11           398559.88             2304.74                154886.54
   18        12           403021.95             2336.25                157222.79
   19         1           407534.15             2368.20                159590.99
   19         2           412097.13             2400.59                161991.58
   19         3           416711.52             2433.42                164425.01
   19         4           421378.00             2466.71                166891.71
   19         5           426097.23             2500.45                169392.16
   19         6           430869.89             2534.65                171926.81
   19         7           435696.68             2569.33                174496.15
   19         8           440578.29             2604.49                177100.63
   19         9           445515.43             2640.13                179740.77
   19        10           450508.82             2676.27                182417.03
   19        11           455559.19             2712.90                185129.94
   19        12           460667.28             2750.05                187879.99
   20         1           465833.84             2787.71                190667.70
   20         2           471059.63             2825.89                193493.59
   20         3           476345.43             2864.61                196358.20
   20         4           481692.02             2903.86                199262.06
   20         5           487100.20             2943.66                202205.72
   20         6           492570.76             2984.02                205189.74
   20         7           498104.53             3024.94                208214.68
   20         8           503702.34             3066.43                211281.12
   20         9           509365.03             3108.51                214389.63
   20        10           515093.46             3151.17                217540.80
   20        11           520888.49             3194.44                220735.23
   20        12           526750.99             3238.31                223973.54
   21         1           532681.87             3282.79                227256.33
   21         2           538682.03             3327.91                230584.24
   21         3           544752.38             3373.66                233957.90
   21         4           550893.87             3420.06                237377.96
   21         5           557107.42             3467.11                240845.06
   21         6           563394.01             3514.82                244359.89
   21         7           569754.60             3563.22                247923.11
   21         8           576190.18             3612.30                251535.40
   21         9           582701.76             3662.07                255197.47
   21        10           589290.35             3712.56                258910.03
   21        11           595956.99             3763.76                262673.79
   21        12           602702.72             3815.69                266489.48
   22         1           609528.60             3868.36                270357.83
   22         2           616435.71             3921.78                274279.62
   22         3           623425.15             3975.97                278255.58
   22         4           630498.03             4030.93                282286.51
   22         5           637655.47             4086.68                286373.19
   22         6           644898.63             4143.23                290516.42
   22         7           652228.65             4200.59                294717.01

Reached target annual dividends of 50250.00 euros.
Total months needed: 271
Total time: 22 years and 7 months
Final portfolio value: 652228.65 euros
Final annual dividends: 50407.06 euros
Cumulative dividends received: 294717.01 euros
